name	norad	classification	int_desig	epoch_year	epoch_day	dn_o2	ddn_o6	bstar	set_num	inc	raan	ecc	argp	M	n	rev_num	epoch
FENGYUN 1C DEB	33640	U	99025DDZ	2022	93.1390946	1.12E-05	0	0.00036226	999	98.8711	335.4483	0.0101408	212.0665	147.4326	14.38261068	73042	20:17.8
FENGYUN 1C DEB	33643	U	99025DEC	2022	90.37838368	8.83E-05	0	0.00096532	999	99.1168	59.6869	0.0148864	154.4131	206.4542	14.80312252	76936	04:52.3
FENGYUN 1C DEB	33645	U	99025DEE	2022	92.43002065	0.00010507	0	0.0021635	999	99.5586	164.3312	0.034068	32.6477	329.5271	14.30084622	45712	19:13.8
FENGYUN 1C DEB	33646	U	99025DEF	2022	84.77303718	1.35E-05	0	0.0009959	999	98.5461	71.5397	0.0123957	351.1349	8.7624	13.93537186	53075	33:10.4
FENGYUN 1C DEB	33647	U	99025DEG	2022	87.24655232	1.23E-05	0	0.00096465	999	98.2017	96.4815	0.0273971	219.3642	138.7316	13.77634034	44114	55:02.1
FENGYUN 1C DEB	33648	U	99025DEH	2022	92.84081253	2.32E-06	0	0.00015011	999	98.7436	114.078	0.007066	47.8112	312.9029	14.10773965	45337	10:46.2
FENGYUN 1C DEB	33650	U	99025DEK	2022	92.51668965	1.33E-05	0	0.0011372	999	98.9833	299.4841	0.0162272	124.1846	237.4811	13.82832815	50111	24:02.0
FENGYUN 1C DEB	33651	U	99025DEL	2022	92.3935027	2.58E-06	0	0.000136	999	98.8428	137.6808	0.0118805	337.3447	22.251	14.18832254	45114	26:38.6
FENGYUN 1C DEB	33655	U	99025DEQ	2022	92.57403309	6.37E-05	0	0.00139	999	98.7863	31.3206	0.0104375	245.3438	113.686	14.54863516	76717	46:36.5
FENGYUN 1C DEB	33656	U	99025DER	2022	92.24711265	7.17E-06	0	0.00034873	999	98.5717	111.4217	0.009417	343.5374	16.275	14.18972596	43535	55:50.5
FENGYUN 1C DEB	33658	U	99025DET	2022	91.75027474	1.74E-05	0	0.0020053	999	99.4859	270.615	0.0306006	357.6533	2.3152	13.52349757	39820	00:23.7
FENGYUN 1C DEB	33660	U	99025DEV	2022	92.74309924	5.72E-06	0	0.00047491	999	98.5435	86.564	0.0112953	2.0829	173.0566	13.89522044	72302	50:03.8
FENGYUN 1C DEB	33661	U	99025DEW	2022	93.08357934	1.21E-05	0	0.0012114	999	98.3917	134.4082	0.024632	162.3375	228.7784	13.66949679	70140	00:21.3
FENGYUN 1C DEB	33663	U	99025DEY	2022	92.59302387	9.39E-05	0	0.0046697	999	98.898	43.6516	0.0166402	333.2199	26.0451	14.10292178	44933	13:57.3
FENGYUN 1C DEB	33664	U	99025DEZ	2022	89.32201484	3.97E-06	0	0.00025872	999	98.6308	290.5193	0.0164152	236.6353	121.9012	14.01374759	71768	43:42.1
FENGYUN 1C DEB	33665	U	99025DFA	2022	92.16704236	4.72E-05	0	0.0013394	999	98.8741	225.8734	0.0510807	220.5842	135.6173	13.89637794	73751	00:32.5
FENGYUN 1C DEB	33666	U	99025DFB	2022	92.22251171	8.61E-05	0	0.0014902	999	98.8939	82.4248	0.0073086	169.5406	204.3502	14.66859946	46720	20:25.0
FENGYUN 1C DEB	33668	U	99025DFD	2022	92.39795817	8.53E-05	0	0.00097392	999	99.0251	327.3489	0.0174103	189.0101	170.797	14.75961968	75906	33:03.6
FENGYUN 1C DEB	33673	U	99025DFJ	2022	92.28228705	8.61E-06	0	0.00067406	999	99.4429	100.1704	0.0110266	269.8201	101.6358	13.92217473	71091	46:29.6
FENGYUN 1C DEB	33674	U	99025DFK	2022	90.41053009	1.85E-05	0	0.0018195	999	98.5899	258.5708	0.0225809	253.7016	103.9191	13.69402148	69810	51:09.8
FENGYUN 1C DEB	33675	U	99025DFL	2022	91.0366003	6.57E-05	0	0.0019244	999	99.1747	129.1251	0.0045899	61.7324	298.8485	14.43630838	48400	52:42.3
FENGYUN 1C DEB	33676	U	99025DFM	2022	93.09528103	8.50E-06	0	0.00025767	999	98.9997	34.4837	0.0212224	49.0111	324.5023	14.32898948	74663	17:12.3
FENGYUN 1C DEB	33678	U	99025DFP	2022	92.69771398	1.98E-05	0	0.00050598	999	99.0636	55.3449	0.0233977	262.4499	95.0052	14.36735745	75647	44:42.5
FENGYUN 1C DEB	33679	U	99025DFQ	2022	92.51242341	9.59E-05	0	0.0013227	999	99.4062	303.775	0.0316284	112.8839	250.6069	14.49423192	74298	17:53.4
FENGYUN 1C DEB	33680	U	99025DFR	2022	64.89281524	0.00017757	0	0.0023518	999	99.4396	95.4461	0.0064707	173.9968	309.3839	14.78506253	78391	25:39.2
FENGYUN 1C DEB	33681	U	99025DFS	2022	91.9011384	5.08E-06	0	0.00037264	999	99.2095	135.2292	0.0105035	150.0729	26.8484	13.97794488	71427	37:38.4
FENGYUN 1C DEB	33682	U	99025DFT	2022	91.30989992	2.54E-05	0	0.0013647	999	99.3982	36.101	0.0036019	287.3725	72.3508	14.1355561	72528	26:15.4
FENGYUN 1C DEB	33683	U	99025DFU	2022	91.34051704	7.43E-05	0	0.0021023	999	98.269	305.872	0.0071952	341.3494	18.5062	14.44315755	73302	10:20.7
FENGYUN 1C DEB	33684	U	99025DFV	2022	93.04934791	0.00010155	0	0.0012292	999	99.0312	20.0308	0.0421577	83.709	281.1927	14.36519217	73785	11:03.7
FENGYUN 1C DEB	33686	U	99025DFX	2022	88.28589121	0.00011734	0	0.0017723	999	98.8908	112.3424	0.0057613	172.459	187.7495	14.73336701	76884	51:41.0
FENGYUN 1C DEB	33687	U	99025DFY	2022	92.72143461	6.20E-05	0	0.00066435	999	99.037	264.2086	0.0243514	305.9171	51.965	14.69790507	77246	18:51.9
FENGYUN 1C DEB	33688	U	99025DFZ	2022	91.1454591	3.74E-05	0	0.0016693	999	99.3929	69.2141	0.0074667	188.3068	171.6877	14.21907203	72147	29:27.7
FENGYUN 1C DEB	33689	U	99025DGA	2022	91.37918002	1.70E-05	0	0.00065094	999	99.5775	296.6009	0.0059203	91.5801	31.8398	14.31257229	50125	06:01.2
FENGYUN 1C DEB	33690	U	99025DGB	2022	91.18421627	3.40E-05	0	0.0013533	999	98.6616	168.3698	0.0048722	107.3115	253.3405	14.28695092	73803	25:16.3
FENGYUN 1C DEB	33691	U	99025DGC	2022	92.2900679	2.66E-05	0	0.0016151	999	99.0699	36.8322	0.0084477	266.6072	92.5429	14.0546355	71421	57:41.9
FENGYUN 1C DEB	33693	U	99025DGE	2022	92.85287441	1.09E-05	0	0.0011419	999	99.2838	311.6531	0.0237538	273.6967	83.7046	13.65883298	69771	28:08.3
FENGYUN 1C DEB	33697	U	99025DGJ	2022	92.46739416	2.33E-05	0	0.0014913	999	99.0221	180.8366	0.0084712	74.976	286.0762	14.02693419	74220	13:02.9
FENGYUN 1C DEB	33698	U	99025DGK	2022	92.5547103	1.51E-05	0	0.00035391	999	99.5952	200.5421	0.0151114	243.378	115.1862	14.4968031	76039	18:47.0
FENGYUN 1C DEB	33699	U	99025DGL	2022	92.770328	0.00092884	0	0.012932	999	98.2902	89.5106	0.0041455	202.2332	332.8549	14.7667921	46444	29:16.3
FENGYUN 1C DEB	33700	U	99025DGM	2022	92.04843199	0.000682	0	0.0065042	999	99.1242	31.2831	0.0089731	347.4991	12.3996	14.89999741	36136	09:44.5
FENGYUN 1C DEB	33701	U	99025DGN	2022	93.03297236	1.73E-05	0	0.0012457	999	98.5917	116.6661	0.0149486	342.7541	44.2816	13.93001272	71792	47:28.8
FENGYUN 1C DEB	33706	U	99025DGT	2022	92.09977788	0.00018596	0	0.0039426	999	98.9323	38.0335	0.0118338	88.9579	272.5171	14.54888917	74459	23:40.8
FENGYUN 1C DEB	33707	U	99025DGU	2022	92.80649857	0.00015686	0	0.0022567	999	99.0911	290.2576	0.0101965	66.3315	294.8551	14.72940624	78165	21:21.5
FENGYUN 1C DEB	33708	U	99025DGV	2022	92.29415242	0.00043639	0	0.0047523	999	99.4499	212.18	0.0055274	252.341	107.176	14.86716919	77482	03:34.8
FENGYUN 1C DEB	33710	U	99025DGX	2022	91.95684833	1.68E-05	0	0.0010632	999	98.9929	182.1954	0.0057367	327.7676	31.9989	14.04492251	48653	57:51.7
FENGYUN 1C DEB	33711	U	99025DGY	2022	92.00082873	1.09E-05	0	0.0007718	999	99.3326	114.2911	0.0106054	139.4267	251.4715	13.97198843	73047	01:11.6
FENGYUN 1C DEB	33713	U	99025DHA	2022	92.84147569	7.27E-05	0	0.00095906	999	99.0872	302.8842	0.016495	92.1924	269.8177	14.71308394	75363	11:43.5
FENGYUN 1C DEB	33714	U	99025DHB	2022	92.15772858	0.00011924	0	0.0034452	999	99.9129	212.8715	0.0053436	87.9194	272.8109	14.43909292	44736	47:07.7
FENGYUN 1C DEB	33716	U	99025DHD	2022	92.37940173	2.92E-06	0	0.00012298	999	98.9565	329.4763	0.0095659	342.265	17.5201	14.30933219	45836	06:20.3
